Bottle v0.12.3 server starting up (using WSGIRefServer())...
Listening on http://192.168.15.103:5050/
Hit Ctrl-C to quit.

/usr/local/lib/python2.7/dist-packages/bottle.py:3451: DeprecationWarning: The include and rebase keywords are functions now.
  line, comment = self.fix_backward_compatibility(line, comment)
192.168.15.102 - - [05/Mar/2014 23:29:12] "GET / HTTP/1.1" 200 2162
192.168.15.102 - - [05/Mar/2014 23:29:15] "GET /specs HTTP/1.1" 200 6789
192.168.15.102 - - [05/Mar/2014 23:29:29] "GET /usage HTTP/1.1" 200 1598
192.168.15.102 - - [05/Mar/2014 23:29:30] "GET /specs HTTP/1.1" 200 6966
192.168.15.102 - - [05/Mar/2014 23:30:45] "GET /specs HTTP/1.1" 200 7792
192.168.15.102 - - [05/Mar/2014 23:30:45] "GET /static/css/bootstrap.min.css HTTP/1.1" 304 0
192.168.15.102 - - [05/Mar/2014 23:30:45] "GET /static/css/custom.css HTTP/1.1" 304 0
192.168.15.102 - - [05/Mar/2014 23:30:45] "GET /static/js/bootstrap.min.js HTTP/1.1" 304 0
192.168.15.102 - - [05/Mar/2014 23:30:50] "GET /specs HTTP/1.1" 200 7851
192.168.15.102 - - [05/Mar/2014 23:30:51] "GET /static/css/custom.css HTTP/1.1" 304 0
192.168.15.102 - - [05/Mar/2014 23:30:51] "GET /static/css/bootstrap.min.css HTTP/1.1" 304 0
192.168.15.102 - - [05/Mar/2014 23:30:51] "GET /static/js/bootstrap.min.js HTTP/1.1" 304 0
192.168.15.102 - - [05/Mar/2014 23:30:52] "GET /specs HTTP/1.1" 200 7851
192.168.15.102 - - [05/Mar/2014 23:30:52] "GET /static/css/custom.css HTTP/1.1" 304 0
192.168.15.102 - - [05/Mar/2014 23:30:52] "GET /static/css/bootstrap.min.css HTTP/1.1" 304 0
192.168.15.102 - - [05/Mar/2014 23:30:52] "GET /static/js/bootstrap.min.js HTTP/1.1" 304 0
192.168.15.102 - - [05/Mar/2014 23:30:53] "GET /specs HTTP/1.1" 200 7910
192.168.15.102 - - [05/Mar/2014 23:30:53] "GET /static/css/custom.css HTTP/1.1" 304 0
192.168.15.102 - - [05/Mar/2014 23:30:53] "GET /static/css/bootstrap.min.css HTTP/1.1" 304 0
192.168.15.102 - - [05/Mar/2014 23:30:53] "GET /static/js/bootstrap.min.js HTTP/1.1" 304 0
192.168.15.102 - - [05/Mar/2014 23:30:55] "GET /specs HTTP/1.1" 200 7910
192.168.15.102 - - [05/Mar/2014 23:30:55] "GET /static/css/bootstrap.min.css HTTP/1.1" 304 0
192.168.15.102 - - [05/Mar/2014 23:30:55] "GET /static/css/custom.css HTTP/1.1" 304 0
192.168.15.102 - - [05/Mar/2014 23:30:55] "GET /static/js/bootstrap.min.js HTTP/1.1" 304 0
192.168.15.102 - - [05/Mar/2014 23:30:57] "GET /specs HTTP/1.1" 200 7910
192.168.15.102 - - [05/Mar/2014 23:30:57] "GET /static/css/custom.css HTTP/1.1" 304 0
192.168.15.102 - - [05/Mar/2014 23:30:57] "GET /static/css/bootstrap.min.css HTTP/1.1" 304 0
192.168.15.102 - - [05/Mar/2014 23:30:57] "GET /static/js/bootstrap.min.js HTTP/1.1" 304 0
192.168.15.102 - - [05/Mar/2014 23:30:58] "GET /specs HTTP/1.1" 200 7969
192.168.15.102 - - [05/Mar/2014 23:30:58] "GET /static/css/custom.css HTTP/1.1" 304 0
192.168.15.102 - - [05/Mar/2014 23:30:58] "GET /static/css/bootstrap.min.css HTTP/1.1" 304 0
192.168.15.102 - - [05/Mar/2014 23:30:58] "GET /static/js/bootstrap.min.js HTTP/1.1" 304 0
192.168.15.102 - - [05/Mar/2014 23:31:20] "GET /specs HTTP/1.1" 200 8205
192.168.15.102 - - [05/Mar/2014 23:31:22] "GET /specs HTTP/1.1" 200 8205
192.168.15.102 - - [05/Mar/2014 23:31:22] "GET /static/css/custom.css HTTP/1.1" 304 0
192.168.15.102 - - [05/Mar/2014 23:31:22] "GET /static/css/bootstrap.min.css HTTP/1.1" 304 0
192.168.15.102 - - [05/Mar/2014 23:31:22] "GET /static/js/bootstrap.min.js HTTP/1.1" 304 0
